lat,lon,risk,row,col
1121033.3428608703,641489.469215034,1.0,132,455
1121023.3428608703,641489.469215034,1.0,133,455
1121003.3428608703,641499.469215034,1.0,135,456
1120993.3428608703,641549.469215034,1.0,136,461
1120993.3428608703,641559.469215034,1.0,136,462
1120993.3428608703,641569.469215034,1.0,136,463
1120993.3428608703,641629.469215034,1.0,136,469
1120993.3428608703,641639.469215034,1.0,136,470
1120983.3428608703,641559.469215034,1.0,137,462
1120983.3428608703,641569.469215034,1.0,137,463
1120983.3428608703,641579.469215034,1.0,137,464
1120983.3428608703,641619.469215034,1.0,137,468
1120983.3428608703,641629.469215034,1.0,137,469
1120983.3428608703,641639.469215034,1.0,137,470
1120973.3428608703,641559.469215034,1.0,138,462
1120973.3428608703,641569.469215034,1.0,138,463
1120973.3428608703,641599.469215034,1.0,138,466
1120973.3428608703,641609.469215034,1.0,138,467
1120973.3428608703,641619.469215034,1.0,138,468
1120973.3428608703,641629.469215034,1.0,138,469
1120973.3428608703,641639.469215034,1.0,138,470
1120963.3428608703,641999.469215034,1.0,139,506
1119513.3428608703,647849.469215034,1.0,284,1091
1119503.3428608703,652789.469215034,1.0,285,1585
1119503.3428608703,652799.469215034,1.0,285,1586
1119503.3428608703,652809.469215034,1.0,285,1587
1119493.3428608703,652769.469215034,1.0,286,1583
1119493.3428608703,652779.469215034,1.0,286,1584
1119493.3428608703,652789.469215034,1.0,286,1585
1119493.3428608703,652799.469215034,1.0,286,1586
1119493.3428608703,652809.469215034,1.0,286,1587
1119483.3428608703,652879.469215034,1.0,287,1594
1119483.3428608703,652889.469215034,1.0,287,1595
1119483.3428608703,652899.469215034,1.0,287,1596
1119473.3428608703,652849.469215034,1.0,288,1591
1119473.3428608703,652859.469215034,1.0,288,1592
1119473.3428608703,652879.469215034,1.0,288,1594
1119473.3428608703,652889.469215034,1.0,288,1595
1119473.3428608703,652899.469215034,1.0,288,1596
1119463.3428608703,652859.469215034,1.0,289,1592
1119463.3428608703,652869.469215034,1.0,289,1593
1119463.3428608703,652879.469215034,1.0,289,1594
1119463.3428608703,652889.469215034,1.0,289,1595
1119463.3428608703,652899.469215034,1.0,289,1596
1119453.3428608703,652959.469215034,1.0,290,1602
1119433.3428608703,647959.469215034,1.0,292,1102
1119433.3428608703,653009.469215034,1.0,292,1607
1119433.3428608703,653079.469215034,1.0,292,1614
1119433.3428608703,653089.469215034,1.0,292,1615
1119433.3428608703,653099.469215034,1.0,292,1616
1119423.3428608703,647959.469215034,1.0,293,1102
1119423.3428608703,653079.469215034,1.0,293,1614
1119423.3428608703,653089.469215034,1.0,293,1615
1119423.3428608703,653099.469215034,1.0,293,1616
1119413.3428608703,647949.469215034,1.0,294,1101
1119413.3428608703,647959.469215034,1.0,294,1102
1119413.3428608703,647969.469215034,1.0,294,1103
1119413.3428608703,653079.469215034,1.0,294,1614
1119413.3428608703,653089.469215034,1.0,294,1615
1119413.3428608703,653099.469215034,1.0,294,1616
1119403.3428608703,653159.469215034,1.0,295,1622
1119393.3428608703,653179.469215034,1.0,296,1624
1119393.3428608703,653189.469215034,1.0,296,1625
1119383.3428608703,653179.469215034,1.0,297,1624
1119383.3428608703,653189.469215034,1.0,297,1625
1119383.3428608703,653219.469215034,1.0,297,1628
1119373.3428608703,653279.469215034,1.0,298,1634
1119373.3428608703,653289.469215034,1.0,298,1635
1119363.3428608703,653289.469215034,1.0,299,1635
1119363.3428608703,653339.469215034,1.0,299,1640
1119353.3428608703,653289.469215034,1.0,300,1635
1119353.3428608703,653299.469215034,1.0,300,1636
1119353.3428608703,653329.469215034,1.0,300,1639
1119353.3428608703,653339.469215034,1.0,300,1640
1119353.3428608703,657359.469215034,1.0,300,2042
1119343.3428608703,653369.469215034,1.0,301,1643
1119303.3428608703,653429.469215034,1.0,305,1649
1119263.3428608703,656919.469215034,1.0,309,1998
1119263.3428608703,656929.469215034,1.0,309,1999
1119263.3428608703,656939.469215034,1.0,309,2000
1119263.3428608703,656949.469215034,1.0,309,2001
1119253.3428608703,656919.469215034,1.0,310,1998
1119253.3428608703,656929.469215034,1.0,310,1999
1119253.3428608703,656939.469215034,1.0,310,2000
1119243.3428608703,656929.469215034,1.0,311,1999
1119223.3428608703,653839.469215034,1.0,313,1690
1118963.3428608703,656249.469215034,1.0,339,1931
1118963.3428608703,656259.469215034,1.0,339,1932
1118963.3428608703,656269.469215034,1.0,339,1933
1118953.3428608703,654259.469215034,1.0,340,1732
1118953.3428608703,654269.469215034,1.0,340,1733
1118953.3428608703,654279.469215034,1.0,340,1734
1118953.3428608703,656259.469215034,1.0,340,1932
1118943.3428608703,650869.469215034,1.0,341,1393
1118943.3428608703,654269.469215034,1.0,341,1733
1118943.3428608703,654279.469215034,1.0,341,1734
1118933.3428608703,654279.469215034,1.0,342,1734
1118933.3428608703,654289.469215034,1.0,342,1735
1118933.3428608703,656209.469215034,1.0,342,1927
1118913.3428608703,654319.469215034,1.0,344,1738
1118903.3428608703,654319.469215034,1.0,345,1738
1118893.3428608703,654319.469215034,1.0,346,1738
1118893.3428608703,654329.469215034,1.0,346,1739
1118893.3428608703,654339.469215034,1.0,346,1740
1118883.3428608703,650639.469215034,1.0,347,1370
1118883.3428608703,650649.469215034,1.0,347,1371
1118883.3428608703,654329.469215034,1.0,347,1739
1118883.3428608703,654339.469215034,1.0,347,1740
1118873.3428608703,650629.469215034,1.0,348,1369
1118873.3428608703,650639.469215034,1.0,348,1370
1118873.3428608703,650649.469215034,1.0,348,1371
1118873.3428608703,654339.469215034,1.0,348,1740
1118863.3428608703,650629.469215034,1.0,349,1369
1118863.3428608703,650639.469215034,1.0,349,1370
1118863.3428608703,650649.469215034,1.0,349,1371
1118823.3428608703,656039.469215034,1.0,353,1910
1118823.3428608703,656049.469215034,1.0,353,1911
1118793.3428608703,650699.469215034,1.0,356,1376
1118793.3428608703,655979.469215034,1.0,356,1904
1118793.3428608703,655989.469215034,1.0,356,1905
1118783.3428608703,650709.469215034,1.0,357,1377
1118773.3428608703,650709.469215034,1.0,358,1377
1118763.3428608703,650709.469215034,1.0,359,1377
1118753.3428608703,650709.469215034,1.0,360,1377
1118743.3428608703,650709.469215034,1.0,361,1377
1118733.3428608703,650689.469215034,1.0,362,1375
1118733.3428608703,650699.469215034,1.0,362,1376
1118733.3428608703,650709.469215034,1.0,362,1377
1118723.3428608703,650689.469215034,1.0,363,1375
1118723.3428608703,650699.469215034,1.0,363,1376
1118723.3428608703,650709.469215034,1.0,363,1377
1118713.3428608703,650689.469215034,1.0,364,1375
1118713.3428608703,650699.469215034,1.0,364,1376
1118713.3428608703,650709.469215034,1.0,364,1377
1118703.3428608703,650709.469215034,1.0,365,1377
1118683.3428608703,650689.469215034,1.0,367,1375
1118683.3428608703,650699.469215034,1.0,367,1376
1118673.3428608703,650659.469215034,1.0,368,1372
1118673.3428608703,650669.469215034,1.0,368,1373
1118673.3428608703,650679.469215034,1.0,368,1374
1118673.3428608703,650689.469215034,1.0,368,1375
1118663.3428608703,650659.469215034,1.0,369,1372
1118663.3428608703,650669.469215034,1.0,369,1373
1118663.3428608703,650679.469215034,1.0,369,1374
1118653.3428608703,650659.469215034,1.0,370,1372
1118653.3428608703,650669.469215034,1.0,370,1373
1118603.3428608703,655479.469215034,1.0,375,1854
